Team Name,Total Yards,Total Plays,Yards Per Play,1st Down,Passing 1st Down,Rushing 1st Down,1st Down From Penalties,3rd Downs Converted,3rd Down Attempts,4th Downs Converted,4th Down Attempts,Red Zone Score,Red Zone Trips,Goal To Go Score,Goal To Go Trips,Passing Yards,Pass Completions,Pass Attempts,Yards Per Pass,Passing Touchdowns,Sacks Allowed,Sack Yards Lost,Rushing Yards,Rush Attempts,Yards Per Rush,Rushing Touchdowns,Penalties Committed,Penalty Yards,Turnovers,Fumbles Lost,Interceptions Thrown,Defense/Special Teams Touchdowns,Interception For Touchdown,Fumble Recovery For Touchdown,Kickoff Return For Touchdown,Punt Return For Touchdown,Field Goals Made,Field Goal Attempts,Extra Points Made,Extra Point Attempts,Safeties,Two Points Converted,Two Points Attempted,Games Played
ARZ,5823,1045,5.6,344,200,124,20,91,208,14,24,30,57,22,31,3674,370,539,6.8,20,41,256,2149,465,4.6,18,100,803,17,8,9,1,1,0,0,0,34,38,35,38,0,1,1,17
ATL,5868,1067,5.5,347,200,131,16,96,212,14,26,37,57,21,27,3817,404,578,6.6,34,31,187,2051,458,4.5,11,122,964,18,6,12,2,1,1,0,0,31,32,40,42,1,3,3,17
BAL,6064,1166,5.2,361,233,83,45,100,248,13,30,30,54,20,31,4527,432,677,6.7,29,59,338,1537,430,3.6,15,105,810,17,5,12,0,0,0,0,0,31,35,37,37,2,2,7,17
BUF,6814,1214,5.6,420,248,137,35,102,229,20,37,41,71,27,38,4461,446,652,6.8,32,45,297,2353,517,4.6,17,140,1107,36,19,17,1,0,0,1,0,23,29,45,46,0,3,6,17
CAR,6877,1154,6.0,417,205,179,33,112,223,9,15,50,76,35,42,3820,360,530,7.2,35,32,223,3057,592,5.2,24,120,977,17,8,9,1,1,0,0,0,36,42,54,56,0,3,5,17
CHI,6022,1028,5.9,326,177,129,20,80,213,9,19,29,63,25,37,3705,325,503,7.4,17,40,254,2317,485,4.8,20,107,794,24,13,11,0,0,0,0,0,38,43,32,32,1,0,4,17
CIN,5921,1088,5.4,361,192,137,32,87,207,16,27,36,53,29,35,3799,372,573,6.6,30,36,217,2122,479,4.4,20,101,826,25,10,15,3,1,2,0,0,22,26,46,49,0,2,3,17
CLE,5816,1040,5.6,303,176,108,19,81,224,8,18,33,53,22,28,3611,316,511,7.1,26,41,267,2205,488,4.5,22,108,890,12,8,4,5,3,0,1,1,22,31,51,52,0,0,1,17
DAL,6039,1046,5.8,342,175,141,26,75,205,17,25,42,56,30,34,3708,349,512,7.2,28,52,337,2331,482,4.8,25,132,1019,22,9,13,2,1,1,0,0,29,31,49,52,0,1,3,17
DEN,5862,1165,5.0,353,214,96,43,96,251,18,32,24,54,18,33,4013,413,632,6.3,24,65,371,1849,468,4.0,11,108,768,25,10,15,0,0,0,0,0,32,36,28,28,0,4,6,17
DET,6301,1089,5.8,358,210,98,50,64,197,15,33,32,59,26,39,4447,395,641,6.9,20,37,256,1854,411,4.5,21,118,887,24,8,16,2,1,1,0,0,29,37,38,39,1,1,4,17
GB,5637,1093,5.2,343,206,112,25,80,219,19,31,31,54,19,25,3779,394,586,6.4,25,47,311,1858,460,4.0,13,121,1004,31,14,17,3,2,0,0,1,26,30,34,36,0,1,5,17
HOU,5828,1154,5.1,342,188,116,38,86,242,18,29,30,50,20,24,3790,356,611,6.2,33,56,382,2038,487,4.2,12,112,837,33,10,23,0,0,0,0,0,31,33,38,39,1,2,5,17
IND,6140,1112,5.5,343,191,127,25,104,234,11,21,37,61,21,28,3899,378,545,7.2,27,36,243,2241,531,4.2,18,92,862,25,9,16,3,1,1,1,0,30,38,43,43,0,3,5,17
JAC,6629,1125,5.9,389,219,137,33,97,225,14,24,35,59,26,31,4375,389,580,7.5,29,34,230,2254,511,4.4,19,105,808,9,3,6,0,0,0,0,0,34,40,41,42,1,1,6,17
KC,6506,1229,5.3,389,223,135,31,111,258,16,31,34,63,24,34,4344,433,654,6.6,28,51,329,2162,524,4.1,17,129,1038,21,7,14,1,1,0,0,0,31,40,36,42,1,1,4,17
LV,5663,1053,5.4,323,194,102,27,88,221,10,13,35,58,28,37,3676,370,561,6.6,29,38,313,1987,454,4.4,14,117,852,13,3,10,3,1,2,0,0,38,43,40,42,1,1,4,17
LAC,5943,1107,5.4,331,182,116,33,85,238,20,31,20,44,11,18,3778,389,598,6.3,25,49,266,2165,460,4.7,8,109,955,24,8,16,1,1,0,0,0,31,40,32,32,1,0,2,17
