Team Name,Total Yards,Total Plays,Yards Per Play,1st Down,Passing 1st Down,Rushing 1st Down,1st Down From Penalties,3rd Downs Converted,3rd Down Attempts,4th Downs Converted,4th Down Attempts,Red Zone Score,Red Zone Trips,Goal To Go Score,Goal To Go Trips,Passing Yards,Pass Completions,Pass Attempts,Yards Per Pass,Passing Touchdowns,Sacks Allowed,Sack Yards Lost,Rushing Yards,Rush Attempts,Yards Per Rush,Rushing Touchdowns,Penalties Committed,Penalty Yards,Turnovers,Fumbles Lost,Interceptions Thrown,Defense/Special Teams Touchdowns,Interception For Touchdown,Fumble Recovery For Touchdown,Kickoff Return For Touchdown,Punt Return For Touchdown,Field Goals Made,Field Goal Attempts,Extra Points Made,Extra Point Attempts,Safeties,Two Points Converted,Two Points Attempted,Games Played
ARZ,6090,1036,5.9,356,191,136,29,83,193,8,18,32,57,25,29,3639,374,543,6.7,21,30,220,2451,463,5.3,18,92,806,20,9,11,1,0,0,1,0,34,38,36,37,2,3,5,17
ATL,6287,1086,5.8,359,198,133,28,82,209,21,31,29,53,18,26,4068,364,559,7.3,21,32,215,2219,495,4.5,18,99,828,24,5,19,4,3,1,0,0,29,41,38,38,1,2,4,17
BAL,8104,1184,6.8,445,219,193,33,109,216,9,16,54,73,34,39,4440,352,523,8.5,45,27,178,3664,634,5.8,24,140,1177,14,9,5,2,2,0,0,0,24,32,65,67,0,1,5,17
BUF,7223,1224,5.9,428,207,176,45,107,242,23,31,55,79,40,50,4489,387,602,7.5,34,19,85,2734,603,4.5,38,126,936,8,2,6,3,2,1,0,0,30,35,66,71,1,2,4,17
CAR,5066,993,5.1,293,168,99,26,76,211,14,30,31,50,21,25,3188,341,547,5.8,22,36,223,1878,410,4.6,18,118,947,22,7,15,0,0,0,0,0,22,26,33,35,0,1,3,17
CHI,4820,1065,4.5,296,172,97,27,76,231,23,38,23,37,18,23,3086,353,566,5.5,20,68,466,1734,431,4.0,13,110,867,16,9,7,2,1,0,0,1,21,25,25,26,0,3,10,17
CIN,6214,1080,5.8,376,253,88,35,100,214,10,19,39,61,32,44,4640,460,652,7.1,43,48,278,1574,380,4.1,11,101,780,22,13,9,3,2,0,1,0,25,33,51,53,1,1,3,17
CLE,5114,1118,4.6,303,180,93,30,70,237,24,44,18,37,13,22,3506,395,661,5.3,19,66,373,1608,391,4.1,8,119,915,34,11,23,1,0,1,0,0,18,27,18,21,1,5,8,17
DAL,5567,1104,5.0,327,192,98,37,84,228,10,28,23,50,15,22,3862,398,637,6.1,23,38,230,1705,429,4.0,6,128,921,28,14,14,4,1,0,2,1,40,47,30,30,0,1,3,17
DEN,5742,1097,5.2,328,179,129,20,93,239,16,25,35,57,24,28,3755,393,593,6.3,31,26,212,1987,478,4.2,12,111,968,19,7,12,5,3,2,0,0,31,35,47,47,2,0,1,17
