Team Name,Offensive Touchdowns,Yards Per Play,Yards Per Completion,Yards Per Attempt,Yards Per Rush,Red Zone Efficiency,Goal To Go Efficiency,Total First Downs,3rd Down Efficiency,4th Down Efficiency,Turnover Rate,Sack Rate
BAL,2,6.1,10.269,6.5,5.781,0.25,0.0,25,0.5,0.5,0.014,0.014
KC,3,7.1,14.05,10.0,3.6,0.333,1.0,21,0.444,0.0,0.02,0.04
GB,3,7.1,14.765,7.2,7.762,0.25,0.5,19,0.273,1.0,0.017,0.034
PHI,4,5.5,13.3,7.8,3.789,0.5,0.0,25,0.286,1.0,0.041,0.027
PIT,0,4.1,7.824,5.8,3.341,0.0,0.0,16,0.471,0.0,0.0,0.03
ATL,1,4.5,8.562,5.3,4.045,0.5,0.0,15,0.222,1.0,0.06,0.04
ARZ,2,4.5,6.952,4.7,4.96,0.5,1.0,18,0.538,0.0,0.017,0.067
BUF,4,6.1,12.333,9.7,3.939,0.667,0.5,23,0.333,1.0,0.017,0.034
TEN,2,4.0,5.474,3.3,5.385,0.5,1.0,16,0.214,0.5,0.049,0.049
CHI,0,2.8,4.571,2.2,3.818,0.0,0.0,11,0.154,1.0,0.019,0.038
NE,1,4.5,8.0,5.0,4.359,0.25,1.0,17,0.4,0.0,0.0,0.016
CIN,1,4.7,7.333,5.3,4.375,0.5,1.0,13,0.364,0.0,0.042,0.062
HOU,3,5.5,8.5,6.4,5.325,1.0,1.0,26,0.5,1.0,0.0,0.053
IND,4,7.0,22.111,10.5,4.727,0.667,1.0,14,0.5,0.5,0.023,0.047
JAC,2,5.3,11.583,6.6,4.923,0.667,1.0,17,0.2,0.0,0.02,0.06
MIA,2,6.2,13.87,8.6,3.24,0.5,1.0,18,0.5,0.0,0.0,0.046
CAR,1,3.5,10.385,4.4,2.9,0.5,1.0,11,0.1,0.333,0.055,0.073
NO,5,6.1,10.474,8.3,4.865,1.0,1.0,22,0.538,0.0,0.016,0.016
MIN,3,6.1,10.579,8.4,4.269,1.0,1.0,17,0.3,1.0,0.039,0.02
NYG,0,3.5,7.545,4.0,3.524,0.0,0.0,14,0.389,0.333,0.029,0.074
LV,1,5.0,9.0,6.8,3.227,0.0,0.0,14,0.357,0.0,0.051,0.068
LAC,2,5.9,8.235,5.4,6.519,0.5,0.0,11,0.267,0.0,0.0,0.019
DEN,1,3.3,5.077,3.1,3.96,0.25,0.5,13,0.278,1.0,0.043,0.029
