Team Name,Vs,Total Yards,Total Plays,Yards Per Play,Time of Possession,1st Down,Passing 1st Down,Rushing 1st Down,1st Down From Penalties,3rd Downs Converted,3rd Down Attempts,4th Downs Converted,4th Down Attempts,Red Zone Score,Red Zone Trips,Goal To Go Score,Goal To Go Trips,Passing Yards,Pass Completions,Pass Attempts,Yards Per Pass,Passing Touchdowns,Sacks Allowed,Sack Yards Lost,Rushing Yards,Rush Attempts,Yards Per Rush,Rushing Touchdowns,Penalties Committed,Penalty Yards,Turnovers,Fumbles Lost,Interceptions Thrown,Defense/Special Teams Touchdowns,Interception For Touchdown,Fumble Recovery For Touchdown,Kickoff Return For Touchdown,Punt Return For Touchdown,Field Goals Made,Field Goal Attempts,Extra Points Made,Extra Point Attempts,Safeties,Two Points Converted,Two Points Attempted,GameID
BAL,KC,452,74,6.1,33:43,25,11,13,1,7,14,1,2,1,4,0,2,267,26,41,6.5,1,1,6,185,32,5.8,1,7,64,1,1,0,0,0,0,0,0,2,3,2,2,0,0,0,2656437
KC,BAL,353,50,7.1,26:17,21,15,4,2,4,9,0,0,1,3,1,1,281,20,28,10.0,1,2,10,72,20,3.6,2,6,45,1,0,1,0,0,0,0,0,2,2,3,3,0,0,0,2656437
GB,PHI,414,58,7.1,27:13,19,9,7,3,3,11,1,1,1,4,1,2,251,17,35,7.2,2,2,9,163,21,7.8,1,10,71,1,0,1,0,0,0,0,0,3,4,2,2,0,0,1,2656520
PHI,GB,410,74,5.5,32:47,25,14,8,3,4,14,1,1,3,6,0,1,266,20,34,7.8,2,2,12,144,38,3.8,2,7,57,3,1,2,0,0,0,0,0,2,2,4,4,0,0,0,2656520
PIT,ATL,270,66,4.1,35:36,16,6,9,1,8,17,0,1,0,2,0,1,133,17,23,5.8,0,2,23,137,41,3.3,0,9,60,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,2656644
ATL,PIT,226,50,4.5,24:24,15,8,6,1,2,9,1,1,1,2,0,1,137,16,26,5.3,1,2,18,89,22,4.0,0,5,34,3,1,2,0,0,0,0,0,1,1,1,1,0,0,0,2656644
ARZ,BUF,270,60,4.5,29:30,18,10,7,1,7,13,0,1,2,4,2,2,146,21,31,4.7,1,4,16,124,25,5.0,1,5,31,1,1,0,1,0,0,1,0,2,2,2,2,0,1,1,2656646
BUF,ARZ,352,58,6.1,30:30,23,11,8,4,3,9,2,2,4,6,1,2,222,18,23,9.7,2,2,10,130,33,3.9,2,9,65,1,1,0,0,0,0,0,0,2,2,4,4,0,0,0,2656646
TEN,CHI,244,61,4.0,34:54,16,6,9,1,3,14,1,2,1,2,1,1,104,19,32,3.3,1,3,23,140,26,5.4,1,8,50,3,1,2,0,0,0,0,0,1,1,2,2,0,0,0,2656652
CHI,TEN,148,53,2.8,25:06,11,5,6,0,2,13,2,2,0,1,0,1,64,14,29,2.2,0,2,29,84,22,3.8,0,7,55,1,1,0,1,1,0,0,0,3,3,1,1,0,1,1,2656652
NE,CIN,290,64,4.5,34:03,17,6,11,0,6,15,0,0,1,4,1,1,120,15,24,5.0,0,1,1,170,39,4.4,1,5,40,0,0,0,0,0,0,0,0,3,3,1,1,0,0,0,2656657
CIN,NE,224,48,4.7,25:57,13,7,5,1,4,11,0,1,1,2,1,1,154,21,29,5.3,0,3,10,70,16,4.4,1,2,10,2,2,0,0,0,0,0,0,1,1,1,1,0,0,0,2656657
HOU,IND,417,76,5.5,40:00,26,13,11,2,7,14,2,2,3,3,2,2,204,24,32,6.4,2,4,30,213,40,5.3,1,5,30,0,0,0,0,0,0,0,0,3,3,2,2,0,0,1,2656662
IND,HOU,303,43,7.0,20:00,14,4,9,1,5,10,1,2,2,3,2,2,199,9,19,10.5,2,2,13,104,22,4.7,2,4,20,1,0,1,0,0,0,0,0,0,0,3,3,0,0,1,2656662
JAC,MIA,267,50,5.3,26:50,17,8,7,2,2,10,0,1,2,3,1,1,139,12,21,6.6,1,3,23,128,26,4.9,1,8,71,1,1,0,0,0,0,0,0,1,1,2,2,0,0,0,2656671
MIA,JAC,400,65,6.2,33:10,18,11,5,2,8,16,0,2,1,2,1,1,319,23,37,8.6,1,3,19,81,25,3.2,1,9,103,0,0,0,0,0,0,0,0,2,3,2,2,0,0,0,2656671
CAR,NO,193,55,3.5,23:21,11,7,2,2,1,10,1,3,1,2,1,1,135,13,31,4.4,0,4,26,58,20,2.9,1,6,80,3,1,2,0,0,0,0,0,1,1,1,1,0,0,0,2656677
